Time,Direction,car,motorbike,bus,truck
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:26,UP,0,0,0,0
11:25:26,DOWN,0,0,0,0
11:25:26,RIGHT,0,0,0,0
11:25:26,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:27,UP,0,0,0,0
11:25:27,DOWN,0,0,0,0
11:25:27,RIGHT,0,0,0,0
11:25:27,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:28,UP,0,0,0,0
11:25:28,DOWN,0,0,0,0
11:25:28,RIGHT,0,0,0,0
11:25:28,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:29,UP,0,0,0,0
11:25:29,DOWN,0,0,0,0
11:25:29,RIGHT,0,0,0,0
11:25:29,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
11:25:30,RIGHT,0,0,0,0
11:25:30,LEFT,0,0,0,0
11:25:30,UP,0,0,0,0
11:25:30,DOWN,0,0,0,0
