Time,Direction,car,motorbike,bus,truck
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:30,UP,0,0,0,0
11:26:30,DOWN,0,0,0,0
11:26:30,RIGHT,0,0,0,0
11:26:30,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,0
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
11:26:31,LEFT,0,0,0,1
11:26:31,UP,0,0,0,0
11:26:31,DOWN,0,0,0,0
11:26:31,RIGHT,0,0,0,0
