Time,Direction,car,motorbike,bus,truck
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
11:24:56,DOWN,0,0,0,0
11:24:56,RIGHT,0,0,0,0
11:24:56,LEFT,0,0,0,0
11:24:56,UP,0,0,0,0
