Time,Direction,car,motorbike,bus,truck
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:12,UP,0,0,0,0
11:24:12,DOWN,0,0,0,0
11:24:12,RIGHT,0,0,0,0
11:24:12,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
11:24:13,DOWN,0,0,0,0
11:24:13,RIGHT,0,0,0,0
11:24:13,LEFT,0,0,0,0
11:24:13,UP,0,0,0,0
