Time,Direction,car,motorbike,bus,truck
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:28,UP,0,0,0,0
11:26:28,DOWN,0,0,0,0
11:26:28,RIGHT,0,0,0,0
11:26:28,LEFT,0,0,0,0
11:26:29,UP,0,0,0,0
11:26:29,DOWN,0,0,0,0
11:26:29,RIGHT,0,0,0,0
11:26:29,LEFT,0,0,0,0
11:26:29,UP,0,0,0,0
11:26:29,DOWN,0,0,0,0
11:26:29,RIGHT,0,0,0,0
11:26:29,LEFT,0,0,0,0
11:26:29,UP,0,0,0,0
11:26:29,DOWN,0,0,0,0
11:26:29,RIGHT,0,0,0,0
