Time,Direction,car,motorbike,bus,truck
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:42,UP,0,0,0,0
11:27:42,DOWN,0,0,0,0
11:27:42,RIGHT,0,0,0,0
11:27:42,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
11:27:43,RIGHT,0,0,0,0
11:27:43,LEFT,0,0,0,0
11:27:43,UP,0,0,0,0
11:27:43,DOWN,0,0,0,0
