step,north_queue,south_queue,east_queue,west_queue,ns_pressure,ew_pressure,current_direction,phase
166,0,0,1,0,0,1,EW,2
167,0,0,0,0,0,0,EW,2
168,0,0,0,0,0,0,EW,2
169,1,0,0,0,1,0,EW,2
170,1,0,0,0,1,0,EW,2
171,1,1,0,0,2,0,EW,2
172,1,1,0,0,2,0,EW,2
173,1,1,0,0,2,0,EW,2
174,1,1,0,0,2,0,EW,2
175,2,1,0,0,3,0,EW,2
176,2,1,0,0,3,0,EW,2
177,2,2,0,0,4,0,EW,2
178,2,2,0,0,4,0,EW,2
179,2,2,0,0,4,0,EW,2
180,2,2,0,0,4,0,EW,2
181,2,1,0,0,3,0,NS,0
182,1,1,0,0,2,0,NS,0
183,1,0,0,0,1,0,NS,0
184,0,0,0,0,0,0,NS,0
185,0,0,0,0,0,0,NS,0
186,0,0,0,0,0,0,NS,0
187,0,0,0,0,0,0,NS,0
188,0,0,0,0,0,0,NS,0
189,0,0,1,0,0,1,NS,0
190,0,0,1,0,0,1,NS,0
191,0,0,1,0,0,1,NS,0
192,0,0,1,2,0,3,NS,0
193,0,0,1,1,0,2,NS,0
194,0,0,1,1,0,2,NS,0
195,0,0,2,1,0,3,NS,0
196,0,0,0,0,0,0,EW,2
197,0,0,0,0,0,0,EW,2
198,0,0,0,0,0,0,EW,2
199,1,0,0,0,1,0,EW,2
200,1,0,0,0,1,0,EW,2
201,1,0,0,0,1,0,EW,2
202,1,0,0,0,1,0,EW,2
203,1,1,0,0,2,0,EW,2
204,1,1,0,0,2,0,EW,2
205,2,1,0,0,3,0,EW,2
206,2,1,0,0,3,0,EW,2
207,2,1,0,0,3,0,EW,2
208,2,1,0,0,3,0,EW,2
209,2,1,0,0,3,0,EW,2
210,2,1,0,0,3,0,EW,2
211,2,1,0,0,3,0,NS,0
212,1,0,0,0,1,0,NS,0
213,0,0,0,0,0,0,NS,0
214,0,0,1,0,0,1,NS,0
215,0,0,1,0,0,1,NS,0
216,0,0,1,0,0,1,NS,0
217,0,0,1,0,0,1,NS,0
218,0,0,2,0,0,2,NS,0
219,0,0,1,0,0,1,NS,0
220,0,0,1,1,0,2,NS,0
221,0,0,1,1,0,2,NS,0
222,0,0,1,2,0,3,NS,0
223,0,0,1,1,0,2,NS,0
224,0,0,1,1,0,2,NS,0
225,0,0,1,1,0,2,NS,0
226,0,0,0,0,0,0,EW,2
227,0,0,0,0,0,0,EW,2
228,0,1,0,0,1,0,EW,2
229,1,1,0,0,2,0,EW,2
230,1,1,0,0,2,0,EW,2
231,1,1,0,0,2,0,EW,2
232,1,1,0,0,2,0,EW,2
233,1,1,0,0,2,0,EW,2
234,2,1,0,0,3,0,EW,2
235,2,1,0,0,3,0,EW,2
236,2,1,0,0,3,0,EW,2
237,2,1,0,0,3,0,EW,2
238,2,2,0,0,4,0,EW,2
239,2,2,0,0,4,0,EW,2
240,2,2,0,0,4,0,EW,2
241,2,1,0,0,3,0,NS,0
242,1,1,0,0,2,0,NS,0
243,0,0,0,0,0,0,NS,0
244,0,0,0,0,0,0,NS,0
245,0,0,0,0,0,0,NS,0
246,0,0,0,0,0,0,NS,0
247,0,0,0,0,0,0,NS,0
248,0,0,0,0,0,0,NS,0
249,0,0,0,0,0,0,NS,0
250,0,0,0,0,0,0,NS,0
251,0,0,1,1,0,2,NS,0
252,0,0,1,2,0,3,NS,0
253,0,0,1,1,0,2,NS,0
254,0,0,1,1,0,2,NS,0
255,0,0,2,1,0,3,NS,0
256,0,0,0,0,0,0,EW,2
257,0,0,0,0,0,0,EW,2
258,0,0,0,0,0,0,EW,2
259,1,0,0,0,1,0,EW,2
260,1,0,0,0,1,0,EW,2
261,1,0,0,0,1,0,EW,2
262,1,0,0,0,1,0,EW,2
263,1,1,0,0,2,0,EW,2
264,1,1,0,0,2,0,EW,2
265,1,1,0,0,2,0,EW,2
266,2,1,0,0,3,0,EW,2
267,2,1,0,0,3,0,EW,2
268,2,1,0,0,3,0,EW,2
269,2,1,0,0,3,0,EW,2
270,2,1,0,0,3,0,EW,2
271,2,1,0,0,3,0,NS,0
272,1,0,0,0,1,0,NS,0
273,0,0,0,0,0,0,NS,0
274,0,0,1,0,0,1,NS,0
275,0,0,1,0,0,1,NS,0
276,0,0,1,0,0,1,NS,0
277,0,0,1,0,0,1,NS,0
278,0,0,2,0,0,2,NS,0
279,0,0,1,0,0,1,NS,0
280,0,0,1,0,0,1,NS,0
281,0,0,1,0,0,1,NS,0
282,0,0,1,2,0,3,NS,0
283,0,0,1,1,0,2,NS,0
284,0,0,1,1,0,2,NS,0
285,0,0,1,1,0,2,NS,0
286,0,0,0,0,0,0,EW,2
287,0,0,0,0,0,0,EW,2
288,1,0,0,0,1,0,EW,2
289,1,1,0,0,2,0,EW,2
290,1,1,0,0,2,0,EW,2
291,1,1,0,0,2,0,EW,2
292,1,1,0,0,2,0,EW,2
293,1,1,0,0,2,0,EW,2
294,1,1,0,0,2,0,EW,2
295,2,1,0,0,3,0,EW,2
296,2,1,0,0,3,0,EW,2
297,2,1,0,0,3,0,EW,2
298,2,2,0,0,4,0,EW,2
299,2,2,0,0,4,0,EW,2
300,2,2,0,0,4,0,EW,2
301,2,1,0,0,3,0,NS,0
302,1,1,0,0,2,0,NS,0
303,0,0,0,0,0,0,NS,0
304,0,0,0,0,0,0,NS,0
305,0,0,0,0,0,0,NS,0
306,0,0,0,0,0,0,NS,0
307,0,0,0,0,0,0,NS,0
308,0,0,0,0,0,0,NS,0
309,0,0,0,0,0,0,NS,0
310,0,0,0,1,0,1,NS,0
311,0,0,1,1,0,2,NS,0
312,0,0,1,2,0,3,NS,0
313,0,0,1,1,0,2,NS,0
314,0,0,1,1,0,2,NS,0
315,0,0,2,1,0,3,NS,0
316,0,0,0,0,0,0,EW,2
317,0,0,0,0,0,0,EW,2
318,0,0,0,0,0,0,EW,2
319,0,0,0,0,0,0,EW,2
320,1,0,0,0,1,0,EW,2
321,1,0,0,0,1,0,EW,2
322,1,1,0,0,2,0,EW,2
323,1,1,0,0,2,0,EW,2
324,1,1,0,0,2,0,EW,2
325,2,1,0,0,3,0,EW,2
326,2,1,0,0,3,0,EW,2
327,2,1,0,0,3,0,EW,2
328,2,1,0,0,3,0,EW,2
329,2,1,0,0,3,0,EW,2
330,2,1,0,0,3,0,EW,2
331,2,1,0,0,3,0,NS,0
332,1,0,1,0,1,1,NS,0
333,0,0,1,0,0,1,NS,0
334,0,0,1,0,0,1,NS,0
335,0,0,1,0,0,1,NS,0
336,0,0,1,0,0,1,NS,0
337,0,0,1,0,0,1,NS,0
338,0,0,2,0,0,2,NS,0
339,0,0,1,1,0,2,NS,0
340,0,0,1,1,0,2,NS,0
341,0,0,1,1,0,2,NS,0
342,0,0,1,2,0,3,NS,0
343,0,0,1,1,0,2,NS,0
344,0,0,1,1,0,2,NS,0
345,0,0,1,1,0,2,NS,0
346,0,0,0,0,0,0,EW,2
347,0,0,0,0,0,0,EW,2
348,0,0,0,0,0,0,EW,2
349,1,1,0,0,2,0,EW,2
350,1,1,0,0,2,0,EW,2
351,1,1,0,0,2,0,EW,2
352,1,1,0,0,2,0,EW,2
353,1,1,0,0,2,0,EW,2
354,1,1,0,0,2,0,EW,2
355,2,1,0,0,3,0,EW,2
356,2,1,0,0,3,0,EW,2
357,2,1,0,0,3,0,EW,2
358,2,1,0,0,3,0,EW,2
359,2,2,0,0,4,0,EW,2
360,3,2,0,0,5,0,EW,2
361,2,1,0,0,3,0,NS,0
362,1,0,0,0,1,0,NS,0
363,1,0,0,0,1,0,NS,0
364,0,0,0,0,0,0,NS,0
365,0,0,0,0,0,0,NS,0
366,0,0,0,0,0,0,NS,0
367,0,0,0,0,0,0,NS,0
368,0,0,0,0,0,0,NS,0
369,0,0,1,0,0,1,NS,0
370,0,0,1,0,0,1,NS,0
371,0,0,1,0,0,1,NS,0
372,0,0,1,2,0,3,NS,0
373,0,0,1,1,0,2,NS,0
374,0,0,1,1,0,2,NS,0
375,0,0,2,1,0,3,NS,0
376,0,0,0,0,0,0,EW,2
377,0,0,0,0,0,0,EW,2
378,0,0,0,0,0,0,EW,2
379,0,0,0,0,0,0,EW,2
380,1,0,0,0,1,0,EW,2
381,1,0,0,0,1,0,EW,2
382,1,0,0,0,1,0,EW,2
383,1,0,0,0,1,0,EW,2
384,1,0,0,0,1,0,EW,2
385,2,1,0,0,3,0,EW,2
386,2,1,0,0,3,0,EW,2
387,2,1,0,0,3,0,EW,2
388,2,1,0,0,3,0,EW,2
389,2,1,0,0,3,0,EW,2
390,2,1,0,0,3,0,EW,2
391,2,1,0,0,3,0,NS,0
392,1,0,0,0,1,0,NS,0
393,0,0,1,0,0,1,NS,0
394,0,0,1,0,0,1,NS,0
395,0,0,1,0,0,1,NS,0
396,0,0,1,0,0,1,NS,0
397,0,0,1,0,0,1,NS,0
398,0,0,2,0,0,2,NS,0
399,0,0,1,0,0,1,NS,0
400,0,0,1,0,0,1,NS,0
401,0,0,1,1,0,2,NS,0
402,0,0,1,2,0,3,NS,0
403,0,0,1,1,0,2,NS,0
404,0,0,1,1,0,2,NS,0
405,0,0,1,1,0,2,NS,0
406,0,0,0,0,0,0,EW,2
407,0,0,0,0,0,0,EW,2
408,0,0,0,0,0,0,EW,2
409,0,0,0,0,0,0,EW,2
410,0,0,0,0,0,0,EW,2
411,1,1,0,0,2,0,EW,2
412,1,1,0,0,2,0,EW,2
413,1,1,0,0,2,0,EW,2
414,2,1,0,0,3,0,EW,2
415,2,1,0,0,3,0,EW,2
416,2,1,0,0,3,0,EW,2
417,2,1,0,0,3,0,EW,2
418,2,2,0,0,4,0,EW,2
419,2,2,0,0,4,0,EW,2
420,2,2,0,0,4,0,EW,2
421,2,1,0,0,3,0,NS,0
422,1,0,0,0,1,0,NS,0
423,0,0,0,0,0,0,NS,0
424,0,0,0,0,0,0,NS,0
425,0,0,0,0,0,0,NS,0
426,0,0,0,0,0,0,NS,0
427,0,0,0,0,0,0,NS,0
428,0,0,0,0,0,0,NS,0
429,0,0,1,0,0,1,NS,0
430,0,0,1,0,0,1,NS,0
431,0,0,1,1,0,2,NS,0
432,0,0,1,2,0,3,NS,0
433,0,0,1,1,0,2,NS,0
434,0,0,1,1,0,2,NS,0
435,0,0,2,1,0,3,NS,0
436,0,0,0,0,0,0,EW,2
437,0,0,0,0,0,0,EW,2
438,0,0,0,0,0,0,EW,2
439,0,0,0,0,0,0,EW,2
440,1,0,0,0,1,0,EW,2
441,1,0,0,0,1,0,EW,2
442,1,0,0,0,1,0,EW,2
443,1,1,0,0,2,0,EW,2
444,1,1,0,0,2,0,EW,2
445,1,1,0,0,2,0,EW,2
446,2,1,0,0,3,0,EW,2
447,2,1,0,0,3,0,EW,2
448,2,1,0,0,3,0,EW,2
449,2,1,0,0,3,0,EW,2
450,2,1,0,0,3,0,EW,2
451,2,1,0,0,3,0,NS,0
452,1,0,0,0,1,0,NS,0
453,1,0,0,0,1,0,NS,0
454,0,0,1,0,0,1,NS,0
455,0,0,1,0,0,1,NS,0
456,0,0,1,0,0,1,NS,0
457,0,0,1,0,0,1,NS,0
458,0,0,2,0,0,2,NS,0
459,0,0,1,0,0,1,NS,0
460,0,0,1,0,0,1,NS,0
461,0,0,1,1,0,2,NS,0
462,0,0,1,2,0,3,NS,0
463,0,0,1,1,0,2,NS,0
464,0,0,1,1,0,2,NS,0
465,0,0,1,1,0,2,NS,0
466,0,0,0,0,0,0,EW,2
467,0,0,0,0,0,0,EW,2
468,0,0,0,0,0,0,EW,2
469,1,2,0,0,3,0,EW,2
470,1,1,0,0,2,0,EW,2
471,1,1,0,0,2,0,EW,2
472,1,1,0,0,2,0,EW,2
473,1,1,0,0,2,0,EW,2
474,2,1,0,0,3,0,EW,2
475,2,1,0,0,3,0,EW,2
476,2,1,0,0,3,0,EW,2
477,2,1,0,0,3,0,EW,2
478,2,1,0,0,3,0,EW,2
479,2,1,0,0,3,0,EW,2
480,3,1,0,0,4,0,EW,2
481,2,1,0,0,3,0,NS,0
482,1,0,0,0,1,0,NS,0
483,0,0,0,0,0,0,NS,0
484,0,0,0,0,0,0,NS,0
485,0,0,0,0,0,0,NS,0
486,0,0,0,0,0,0,NS,0
487,0,0,0,0,0,0,NS,0
488,0,0,0,0,0,0,NS,0
489,0,0,0,0,0,0,NS,0
490,0,0,0,0,0,0,NS,0
491,0,0,1,1,0,2,NS,0
492,0,0,1,2,0,3,NS,0
493,0,0,1,1,0,2,NS,0
494,0,0,1,1,0,2,NS,0
495,0,0,2,1,0,3,NS,0
496,0,0,0,0,0,0,EW,2
497,0,0,0,0,0,0,EW,2
498,1,0,0,0,1,0,EW,2
499,1,0,0,0,1,0,EW,2
500,1,0,0,0,1,0,EW,2
501,1,0,0,0,1,0,EW,2
502,1,0,0,0,1,0,EW,2
503,1,1,0,0,2,0,EW,2
504,1,1,0,0,2,0,EW,2
505,2,1,0,0,3,0,EW,2
506,2,1,0,0,3,0,EW,2
507,2,1,0,0,3,0,EW,2
508,2,1,0,0,3,0,EW,2
509,2,1,0,0,3,0,EW,2
510,2,1,0,0,3,0,EW,2
511,2,1,0,0,3,0,NS,0
512,1,0,0,0,1,0,NS,0
513,1,0,1,0,1,1,NS,0
514,0,0,1,0,0,1,NS,0
515,0,0,1,0,0,1,NS,0
516,0,0,1,0,0,1,NS,0
517,0,0,1,0,0,1,NS,0
518,0,0,2,0,0,2,NS,0
519,0,0,1,0,0,1,NS,0
520,0,0,1,0,0,1,NS,0
521,0,0,1,1,0,2,NS,0
522,0,0,1,2,0,3,NS,0
523,0,0,1,1,0,2,NS,0
524,0,0,1,1,0,2,NS,0
525,0,0,1,1,0,2,NS,0
526,0,0,0,0,0,0,EW,2
527,0,0,0,0,0,0,EW,2
528,0,0,0,0,0,0,EW,2
529,1,1,0,0,2,0,EW,2
530,1,1,0,0,2,0,EW,2
531,1,1,0,0,2,0,EW,2
532,1,1,0,0,2,0,EW,2
533,1,1,0,0,2,0,EW,2
534,1,1,0,0,2,0,EW,2
535,2,1,0,0,3,0,EW,2
536,2,1,0,0,3,0,EW,2
537,2,1,0,0,3,0,EW,2
538,2,1,0,0,3,0,EW,2
539,2,1,0,0,3,0,EW,2
540,2,2,0,0,4,0,EW,2
541,2,1,0,0,3,0,NS,0
542,1,0,0,0,1,0,NS,0
543,0,0,0,0,0,0,NS,0
544,0,0,0,0,0,0,NS,0
545,0,0,0,0,0,0,NS,0
546,0,0,0,0,0,0,NS,0
547,0,0,0,0,0,0,NS,0
548,0,0,0,0,0,0,NS,0
549,0,0,0,0,0,0,NS,0
550,0,0,1,0,0,1,NS,0
551,0,0,1,1,0,2,NS,0
552,0,0,1,2,0,3,NS,0
553,0,0,1,1,0,2,NS,0
554,0,0,1,1,0,2,NS,0
555,0,0,2,1,0,3,NS,0
556,0,0,0,0,0,0,EW,2
557,0,0,0,0,0,0,EW,2
558,0,0,0,0,0,0,EW,2
559,1,0,0,0,1,0,EW,2
560,1,0,0,0,1,0,EW,2
561,1,0,0,0,1,0,EW,2
562,1,0,0,0,1,0,EW,2
563,1,0,0,0,1,0,EW,2
564,1,0,0,0,1,0,EW,2
565,2,1,0,0,3,0,EW,2
566,2,1,0,0,3,0,EW,2
567,2,1,0,0,3,0,EW,2
568,2,1,0,0,3,0,EW,2
569,2,1,0,0,3,0,EW,2
570,2,1,0,0,3,0,EW,2
571,2,1,0,0,3,0,NS,0
572,1,0,0,0,1,0,NS,0
573,1,0,1,0,1,1,NS,0
574,0,0,1,0,0,1,NS,0
575,0,0,1,0,0,1,NS,0
576,0,0,1,0,0,1,NS,0
577,0,0,1,0,0,1,NS,0
578,0,0,2,0,0,2,NS,0
579,0,0,1,0,0,1,NS,0
580,0,0,1,1,0,2,NS,0
581,0,0,1,1,0,2,NS,0
582,0,0,1,2,0,3,NS,0
583,0,0,1,1,0,2,NS,0
584,0,0,1,1,0,2,NS,0
585,0,0,1,1,0,2,NS,0
586,0,0,0,0,0,0,EW,2
587,0,0,0,0,0,0,EW,2
588,0,0,0,0,0,0,EW,2
589,0,1,0,0,1,0,EW,2
590,1,1,0,0,2,0,EW,2
591,1,1,0,0,2,0,EW,2
592,1,1,0,0,2,0,EW,2
593,1,1,0,0,2,0,EW,2
594,1,1,0,0,2,0,EW,2
595,2,1,0,0,3,0,EW,2
596,2,1,0,0,3,0,EW,2
597,2,1,0,0,3,0,EW,2
598,2,1,0,0,3,0,EW,2
599,2,2,0,0,4,0,EW,2
600,2,2,0,0,4,0,EW,2
601,2,1,0,0,3,0,NS,0
602,1,0,0,0,1,0,NS,0
603,0,0,0,0,0,0,NS,0
604,0,0,0,0,0,0,NS,0
605,0,0,0,0,0,0,NS,0
606,0,0,0,0,0,0,NS,0
607,0,0,0,0,0,0,NS,0
608,0,0,0,0,0,0,NS,0
609,0,0,0,0,0,0,NS,0
610,0,0,0,0,0,0,NS,0
611,0,0,1,0,0,1,NS,0
612,0,0,1,2,0,3,NS,0
613,0,0,1,1,0,2,NS,0
614,0,0,1,1,0,2,NS,0
615,0,0,2,1,0,3,NS,0
616,0,0,0,0,0,0,EW,2
617,0,0,0,0,0,0,EW,2
618,0,0,0,0,0,0,EW,2
619,0,0,0,0,0,0,EW,2
620,1,0,0,0,1,0,EW,2
621,1,0,0,0,1,0,EW,2
622,1,0,0,0,1,0,EW,2
623,1,0,0,0,1,0,EW,2
624,2,0,0,0,2,0,EW,2
625,2,0,0,0,2,0,EW,2
626,2,1,0,0,3,0,EW,2
627,2,1,0,0,3,0,EW,2
628,2,1,0,0,3,0,EW,2
629,2,1,0,0,3,0,EW,2
630,2,2,0,0,4,0,EW,2
631,2,1,0,0,3,0,NS,0
632,1,0,0,0,1,0,NS,0
633,0,0,1,0,0,1,NS,0
634,0,0,1,0,0,1,NS,0
635,0,0,1,0,0,1,NS,0
636,0,0,1,0,0,1,NS,0
637,0,0,1,0,0,1,NS,0
