step,north_queue,south_queue,east_queue,west_queue,ns_pressure,ew_pressure,current_direction,phase
729,0,0,0,0,0,0,NS,0
730,0,0,0,1,0,1,NS,0
731,0,0,1,1,0,2,NS,0
732,0,0,1,2,0,3,NS,0
733,0,0,1,1,0,2,NS,0
734,0,0,1,1,0,2,NS,0
735,0,0,2,1,0,3,NS,0
736,0,0,0,0,0,0,EW,2
737,0,0,0,0,0,0,EW,2
738,0,0,0,0,0,0,EW,2
739,0,0,0,0,0,0,EW,2
740,0,0,0,0,0,0,EW,2
741,1,0,0,0,1,0,EW,2
742,1,0,0,0,1,0,EW,2
743,1,0,0,0,1,0,EW,2
744,1,0,0,0,1,0,EW,2
745,2,1,0,0,3,0,EW,2
746,2,1,0,0,3,0,EW,2
747,2,1,0,0,3,0,EW,2
748,2,1,0,0,3,0,EW,2
749,2,1,0,0,3,0,EW,2
750,2,1,0,0,3,0,EW,2
751,2,1,0,0,3,0,NS,0
752,1,0,0,0,1,0,NS,0
753,1,0,0,0,1,0,NS,0
754,0,0,1,0,0,1,NS,0
755,0,0,1,0,0,1,NS,0
756,0,0,1,0,0,1,NS,0
757,0,0,1,0,0,1,NS,0
758,0,0,1,0,0,1,NS,0
759,0,0,1,0,0,1,NS,0
760,0,0,1,0,0,1,NS,0
761,0,0,1,0,0,1,NS,0
762,0,0,1,0,0,1,NS,0
763,0,0,1,0,0,1,NS,0
764,0,0,1,0,0,1,NS,0
765,0,0,1,0,0,1,NS,0
766,0,0,0,0,0,0,EW,2
767,0,0,0,0,0,0,EW,2
768,0,0,0,0,0,0,EW,2
769,0,0,0,0,0,0,EW,2
770,0,0,0,0,0,0,EW,2
771,0,0,0,0,0,0,EW,2
772,0,0,0,0,0,0,EW,2
773,0,0,0,0,0,0,EW,2
774,0,0,0,0,0,0,EW,2
775,0,0,0,0,0,0,EW,2
776,0,0,0,0,0,0,EW,2
777,0,0,0,0,0,0,EW,2
