step,north_queue,south_queue,east_queue,west_queue,emergency_active,phase
226,1,1,1,1,False,2
227,1,1,1,0,False,2
228,1,1,0,0,False,2
229,1,1,0,0,False,2
230,1,1,0,0,False,2
231,2,1,0,0,False,2
232,2,1,0,0,False,2
233,2,1,0,0,False,2
234,2,1,0,0,False,2
235,2,2,0,0,False,2
236,2,2,0,0,False,2
237,2,2,0,0,False,2
238,2,2,0,0,False,2
239,3,2,0,0,False,2
240,3,2,0,0,False,2
241,3,2,0,0,False,2
242,3,3,0,0,False,2
243,3,3,0,0,False,2
244,3,3,0,0,False,2
245,4,3,0,0,False,2
246,4,3,0,0,False,2
247,4,3,0,0,False,2
248,4,3,0,0,False,2
249,4,3,0,0,False,2
250,5,3,0,0,False,2
251,5,4,0,0,False,2
252,5,4,0,0,False,2
253,5,4,0,0,False,2
254,5,4,0,0,False,2
255,5,4,0,0,False,2
256,6,4,0,0,False,2
257,6,4,0,0,False,2
258,6,5,0,0,False,2
259,6,5,0,0,False,2
260,6,5,0,0,False,2
261,6,5,0,0,False,2
262,7,5,0,0,False,2
263,7,5,0,0,False,2
264,7,5,0,0,False,2
265,7,6,0,0,False,2
266,7,6,0,0,False,2
267,8,6,0,0,False,3
268,8,6,0,0,False,3
269,8,6,0,0,False,3
270,8,5,0,0,False,0
271,7,4,0,0,False,0
272,6,3,0,0,False,0
273,5,2,0,0,False,0
274,4,2,0,0,False,0
275,3,1,0,1,False,0
276,2,0,0,2,False,0
277,2,0,0,1,False,0
278,1,0,0,1,False,0
279,0,0,0,1,False,0
280,0,0,0,1,False,0
281,0,0,0,1,False,0
282,0,0,0,1,False,0
283,0,0,0,1,False,0
284,0,0,0,1,False,0
285,0,0,1,1,False,0
286,0,0,1,1,False,0
287,0,0,1,1,False,0
288,0,0,2,3,False,0
289,0,0,1,2,False,0
290,0,0,1,2,False,0
291,0,0,1,2,False,0
292,0,0,1,2,False,0
293,0,0,1,2,False,0
294,0,0,1,2,False,0
295,0,0,1,2,False,0
296,0,0,1,2,False,0
297,0,0,1,2,False,0
298,0,0,1,2,False,0
299,0,0,2,3,False,0
300,0,0,3,4,True,2
301,0,0,1,2,True,2
302,1,0,0,1,True,2
303,1,1,0,0,True,2
304,1,1,0,0,True,2
305,1,1,0,0,True,2
306,2,1,0,0,True,2
307,2,1,0,0,True,2
308,2,1,0,0,False,2
309,2,1,0,0,False,2
310,2,1,0,0,False,2
311,2,1,0,0,False,2
312,2,1,0,0,False,2
313,2,2,0,0,False,2
314,3,2,0,0,False,2
315,3,2,0,0,False,2
316,3,2,0,0,False,2
317,3,2,0,0,False,2
318,3,2,0,0,False,2
319,4,3,0,0,False,2
320,4,3,0,0,False,2
321,4,3,0,0,False,2
322,4,3,0,0,False,2
323,4,3,0,0,False,2
324,4,3,0,0,False,2
325,4,3,0,0,False,2
326,5,3,0,0,False,2
327,5,3,0,0,False,2
328,5,3,0,0,False,2
329,5,4,0,0,False,2
330,5,4,0,0,False,2
331,5,4,0,0,False,2
332,6,4,0,0,False,2
333,6,4,0,0,False,2
334,6,4,0,0,False,2
335,6,5,0,0,False,2
336,6,5,0,0,False,2
337,7,5,0,0,False,2
338,7,5,0,0,False,2
339,7,5,0,0,False,2
340,7,5,0,0,False,2
341,8,5,0,0,False,2
342,8,5,0,0,False,2
343,8,6,0,0,False,2
344,8,6,0,0,False,2
345,9,6,0,0,False,2
346,8,6,0,0,False,2
347,9,6,0,0,False,2
348,9,6,0,0,False,2
349,9,7,0,0,False,2
350,9,7,0,0,False,2
351,10,7,0,0,False,2
352,9,7,0,0,False,2
353,10,7,0,0,False,2
354,10,7,0,0,False,2
355,10,7,0,0,False,2
356,10,7,0,0,False,2
357,11,8,0,0,False,2
358,11,7,0,0,False,2
359,11,8,0,0,False,2
360,11,8,0,0,False,2
361,11,8,0,0,False,2
362,12,8,0,0,False,2
363,12,8,0,0,False,2
364,12,8,0,0,False,2
365,12,10,0,0,False,2
366,12,9,0,0,False,2
367,12,9,0,0,False,2
368,12,9,0,0,False,3
369,12,9,0,0,False,3
370,12,9,0,0,False,3
371,11,8,0,0,False,0
372,10,8,0,0,False,0
373,9,7,0,0,False,0
374,8,6,0,0,False,0
375,7,5,0,0,False,0
376,6,4,0,0,False,0
377,5,3,0,0,False,0
378,5,2,0,1,False,0
379,4,2,0,1,False,0
380,3,2,0,1,False,0
381,2,1,1,2,False,0
382,1,0,1,1,False,0
383,0,0,1,1,False,0
384,0,0,1,1,False,0
385,0,0,1,1,False,0
386,0,0,2,1,False,0
387,0,0,1,1,False,0
388,0,0,1,1,False,0
389,0,0,1,1,False,0
390,0,0,1,1,False,0
391,0,0,1,1,False,0
392,0,0,1,1,False,0
393,0,0,1,3,False,0
394,0,0,1,2,False,0
395,0,0,1,2,False,0
396,0,0,1,2,False,0
397,0,0,1,2,False,0
398,0,0,1,2,False,0
399,0,0,2,2,False,0
400,0,0,2,2,False,0
401,0,0,3,2,False,0
402,0,0,2,2,False,0
403,0,0,2,2,False,0
404,0,0,2,3,False,0
405,0,0,2,4,False,0
406,0,0,2,3,False,0
407,0,0,2,3,False,0
408,0,0,2,3,False,0
409,0,0,2,3,False,0
410,0,0,2,3,False,0
411,0,0,2,3,False,0
412,0,0,3,3,False,0
413,0,0,3,3,False,1
414,0,0,3,3,False,1
415,0,0,4,3,False,1
416,0,0,2,3,False,2
417,0,0,1,2,False,2
418,0,0,0,1,False,2
419,0,0,0,0,False,2
420,0,0,0,0,False,2
421,1,0,0,0,False,2
422,1,0,0,0,False,2
423,1,1,0,0,False,2
424,1,1,0,0,False,2
425,1,1,0,0,False,2
426,2,1,0,0,False,2
427,2,1,0,0,False,2
428,2,1,0,0,False,2
429,2,1,0,0,False,2
430,2,1,0,0,False,2
431,2,1,0,0,False,2
432,2,2,0,0,False,2
433,2,2,0,0,False,2
434,3,2,0,0,False,2
435,3,2,0,0,False,2
436,3,2,0,0,False,2
437,3,2,0,0,False,2
438,3,2,0,0,False,2
439,3,2,0,0,False,2
440,4,3,0,0,False,2
441,4,3,0,0,False,2
442,4,3,0,0,False,2
443,4,3,0,0,False,2
444,4,3,0,0,False,2
445,4,3,0,0,False,2
446,5,3,0,0,False,2
447,5,3,0,0,False,2
448,5,4,0,0,False,2
449,5,4,0,0,False,2
450,5,4,0,0,False,2
451,6,4,0,0,False,2
452,6,4,0,0,False,2
453,6,4,0,0,False,2
