step,north_queue,south_queue,east_queue,west_queue,total_queue,phase
206,0,0,2,2,4,0
207,0,0,2,2,4,0
208,0,0,2,2,4,0
209,0,0,2,2,4,0
210,0,0,2,2,4,0
211,0,0,2,2,4,0
212,0,0,2,2,4,0
213,0,0,2,2,4,0
214,0,0,2,2,4,0
215,0,0,3,2,5,0
216,0,0,4,4,8,0
217,0,0,3,3,6,0
218,0,0,3,3,6,0
219,0,0,3,3,6,0
220,0,0,3,3,6,0
221,0,0,3,3,6,0
222,0,0,3,3,6,1
223,0,0,3,3,6,1
224,0,0,3,3,6,1
225,0,0,2,2,4,2
226,1,1,1,1,4,2
227,1,1,1,0,3,2
228,1,1,0,0,2,2
229,1,1,0,0,2,2
230,1,1,0,0,2,2
231,2,1,0,0,3,2
232,2,1,0,0,3,2
233,2,1,0,0,3,2
234,2,1,0,0,3,2
235,2,2,0,0,4,2
236,2,2,0,0,4,2
237,2,2,0,0,4,2
238,2,2,0,0,4,2
239,3,2,0,0,5,2
240,3,2,0,0,5,2
241,3,2,0,0,5,2
242,3,3,0,0,6,2
243,3,3,0,0,6,2
244,3,3,0,0,6,2
245,4,3,0,0,7,2
246,4,3,0,0,7,2
247,4,3,0,0,7,2
248,4,3,0,0,7,2
249,4,3,0,0,7,2
250,5,3,0,0,8,2
251,5,4,0,0,9,2
252,5,4,0,0,9,2
253,5,4,0,0,9,2
254,5,4,0,0,9,2
255,5,4,0,0,9,2
256,6,4,0,0,10,2
257,6,4,0,0,10,2
258,6,5,0,0,11,2
259,6,5,0,0,11,2
260,6,5,0,0,11,2
261,6,5,0,0,11,2
262,7,5,0,0,12,2
263,7,5,0,0,12,2
264,7,5,0,0,12,2
265,7,6,0,0,13,2
266,7,6,0,0,13,2
267,8,6,0,0,14,3
268,8,6,0,0,14,3
269,8,6,0,0,14,3
270,8,5,0,0,13,0
271,7,4,0,0,11,0
272,6,3,0,0,9,0
273,5,2,0,0,7,0
274,4,2,0,0,6,0
275,3,1,0,1,5,0
276,2,0,0,2,4,0
277,2,0,0,1,3,0
278,1,0,0,1,2,0
279,0,0,0,1,1,0
280,0,0,0,1,1,0
281,0,0,0,1,1,0
282,0,0,0,1,1,0
283,0,0,0,1,1,0
284,0,0,0,1,1,0
285,0,0,1,1,2,0
286,0,0,1,1,2,0
287,0,0,1,1,2,0
288,0,0,2,3,5,0
289,0,0,1,2,3,0
290,0,0,1,2,3,0
291,0,0,1,2,3,0
292,0,0,1,2,3,0
293,0,0,1,2,3,0
294,0,0,1,2,3,0
295,0,0,1,2,3,0
296,0,0,1,2,3,0
297,0,0,1,2,3,0
298,0,0,1,2,3,0
299,0,0,2,3,5,0
300,0,0,2,4,6,0
301,0,0,2,3,5,0
302,0,0,2,3,5,0
303,0,0,3,3,6,0
304,0,0,2,3,5,0
305,0,0,2,3,5,0
306,0,0,2,3,5,0
307,0,0,2,3,5,0
308,0,0,2,3,5,0
309,0,0,2,3,5,0
310,0,0,2,3,5,0
311,0,0,2,3,5,0
312,0,0,2,4,6,1
313,0,0,2,4,6,1
314,0,0,2,4,6,1
315,0,0,1,3,4,2
316,0,0,1,2,3,2
317,1,0,0,1,2,2
318,1,0,0,0,1,2
319,1,0,0,0,1,2
320,1,0,0,0,1,2
321,1,0,0,0,1,2
322,2,1,0,0,3,2
323,2,1,0,0,3,2
324,2,1,0,0,3,2
325,2,1,0,0,3,2
326,2,1,0,0,3,2
327,2,1,0,0,3,2
328,2,1,0,0,3,2
329,3,1,0,0,4,2
330,3,1,0,0,4,2
331,3,1,0,0,4,2
332,3,1,0,0,4,2
333,3,2,0,0,5,2
334,4,2,0,0,6,2
335,4,2,0,0,6,2
336,4,2,0,0,6,2
337,4,2,0,0,6,2
338,4,2,0,0,6,2
339,5,3,0,0,8,2
340,5,3,0,0,8,2
341,5,3,0,0,8,2
342,5,3,0,0,8,2
343,5,3,0,0,8,2
344,6,3,0,0,9,2
345,6,3,0,0,9,2
346,6,3,0,0,9,2
347,6,3,0,0,9,2
348,6,4,0,0,10,2
349,6,4,0,0,10,2
350,6,4,0,0,10,2
351,7,4,0,0,11,2
352,7,4,0,0,11,2
353,7,4,0,0,11,2
354,7,5,0,0,12,2
355,7,5,0,0,12,2
356,8,5,0,0,13,2
357,8,5,0,0,13,3
358,8,5,0,0,13,3
359,8,5,0,0,13,3
360,7,4,0,0,11,0
361,7,3,0,0,10,0
362,6,2,0,0,8,0
363,5,2,0,0,7,0
364,4,1,0,0,5,0
365,3,0,0,0,3,0
366,2,0,0,0,2,0
367,2,0,0,0,2,0
368,1,0,0,0,1,0
369,0,0,1,0,1,0
370,0,0,1,0,1,0
371,0,0,1,1,2,0
372,0,0,1,2,3,0
373,0,0,1,1,2,0
374,0,0,1,1,2,0
375,0,0,2,1,3,0
376,0,0,1,1,2,0
377,0,0,1,1,2,0
378,0,0,1,1,2,0
379,0,0,1,1,2,0
380,0,0,1,1,2,0
381,0,0,1,1,2,0
382,0,0,1,1,2,0
383,0,0,1,1,2,0
384,0,0,1,3,4,0
385,0,0,1,2,3,0
386,0,0,1,2,3,0
387,0,0,2,2,4,0
388,0,0,2,2,4,0
389,0,0,3,2,5,0
390,0,0,2,2,4,0
391,0,0,2,2,4,0
392,0,0,2,2,4,0
393,0,0,2,2,4,0
394,0,0,2,2,4,0
395,0,0,2,2,4,0
396,0,0,2,4,6,0
397,0,0,2,3,5,0
398,0,0,2,3,5,0
399,0,0,2,3,5,0
400,0,0,3,3,6,0
401,0,0,3,3,6,0
402,0,0,3,3,6,1
403,0,0,3,3,6,1
404,0,0,4,3,7,1
405,0,0,2,2,4,2
406,0,0,1,1,2,2
407,0,0,0,0,0,2
408,1,0,0,0,1,2
409,1,0,0,0,1,2
410,1,0,0,0,1,2
411,1,1,0,0,2,2
412,2,1,0,0,3,2
413,2,1,0,0,3,2
414,2,1,0,0,3,2
415,2,1,0,0,3,2
416,2,1,0,0,3,2
417,2,1,0,0,3,2
418,3,1,0,0,4,2
419,3,2,0,0,5,2
420,3,2,0,0,5,2
421,3,2,0,0,5,2
422,3,2,0,0,5,2
423,3,2,0,0,5,2
424,4,2,0,0,6,2
425,4,2,0,0,6,2
426,4,2,0,0,6,2
427,4,3,0,0,7,2
428,4,3,0,0,7,2
429,4,3,0,0,7,2
430,5,3,0,0,8,2
431,5,3,0,0,8,2
432,5,3,0,0,8,2
433,5,3,0,0,8,2
434,5,3,0,0,8,2
435,6,3,0,0,9,2
436,6,4,0,0,10,2
437,6,4,0,0,10,2
438,6,4,0,0,10,2
439,6,4,0,0,10,2
440,6,4,0,0,10,2
441,6,4,0,0,10,2
442,7,4,0,0,11,2
443,7,5,0,0,12,2
444,7,5,0,0,12,2
445,7,5,0,0,12,2
446,8,5,0,0,13,2
447,8,5,0,0,13,3
448,8,5,0,0,13,3
449,8,5,0,0,13,3
450,7,5,0,0,12,0
451,6,4,0,0,10,0
452,6,3,0,0,9,0
453,5,2,0,0,7,0
454,4,1,0,1,6,0
455,3,0,0,1,4,0
456,3,0,0,2,5,0
457,2,0,1,1,4,0
458,1,0,1,1,3,0
459,1,0,1,1,3,0
460,0,0,1,1,2,0
461,0,0,2,1,3,0
462,0,0,1,1,2,0
463,0,0,1,1,2,0
464,0,0,1,1,2,0
465,0,0,1,1,2,0
466,0,0,1,1,2,0
467,0,0,1,1,2,0
468,0,0,1,3,4,0
469,0,0,1,2,3,0
470,0,0,1,2,3,0
471,0,0,1,2,3,0
472,0,0,1,2,3,0
473,0,0,1,2,3,0
474,0,0,2,2,4,0
475,0,0,2,2,4,0
476,0,0,3,2,5,0
477,0,0,2,2,4,0
478,0,0,2,2,4,0
479,0,0,2,2,4,0
480,0,0,2,4,6,0
481,0,0,2,3,5,0
482,0,0,2,3,5,0
483,0,0,2,3,5,0
484,0,0,2,3,5,0
485,0,0,2,3,5,0
486,0,0,2,3,5,0
487,0,0,2,3,5,0
488,0,0,2,3,5,0
489,0,0,3,3,6,0
490,0,0,4,3,7,0
491,0,0,3,4,7,0
492,0,0,3,5,8,1
493,0,0,3,4,7,1
494,0,0,3,4,7,1
495,0,0,2,3,5,2
496,0,0,1,2,3,2
497,1,0,0,1,2,2
498,1,1,0,0,2,2
499,1,1,0,0,2,2
500,1,1,0,0,2,2
501,2,1,0,0,3,2
502,2,1,0,0,3,2
503,2,1,0,0,3,2
504,2,1,0,0,3,2
505,2,1,0,0,3,2
506,2,1,0,0,3,2
507,2,2,0,0,4,2
508,3,2,0,0,5,2
509,3,2,0,0,5,2
510,3,2,0,0,5,2
511,3,2,0,0,5,2
512,3,2,0,0,5,2
513,4,2,0,0,6,2
514,4,2,0,0,6,2
515,4,3,0,0,7,2
516,4,3,0,0,7,2
517,4,3,0,0,7,2
518,4,3,0,0,7,2
519,5,3,0,0,8,2
520,5,3,0,0,8,2
521,5,3,0,0,8,2
522,5,3,0,0,8,2
523,5,4,0,0,9,2
524,5,4,0,0,9,2
525,6,4,0,0,10,2
526,6,4,0,0,10,2
527,6,4,0,0,10,2
528,6,4,0,0,10,2
529,6,5,0,0,11,2
530,6,5,0,0,11,2
531,6,5,0,0,11,2
532,7,5,0,0,12,2
533,7,5,0,0,12,2
534,7,5,0,0,12,2
535,7,5,0,0,12,2
536,8,5,0,0,13,2
537,8,5,0,0,13,3
538,8,5,0,0,13,3
539,8,6,0,0,14,3
540,7,5,0,0,12,0
541,6,4,0,0,10,0
542,6,3,0,0,9,0
543,5,2,1,0,8,0
544,4,1,1,0,6,0
545,3,0,1,0,4,0
546,3,0,1,0,4,0
547,2,0,1,0,3,0
548,1,0,2,0,3,0
549,1,0,1,0,2,0
550,0,0,1,0,1,0
551,0,0,1,1,2,0
552,0,0,1,2,3,0
553,0,0,1,1,2,0
554,0,0,1,1,2,0
555,0,0,1,1,2,0
556,0,0,1,1,2,0
557,0,0,1,1,2,0
558,0,0,1,1,2,0
559,0,0,1,1,2,0
560,0,0,1,1,2,0
561,0,0,2,1,3,0
562,0,0,3,1,4,0
563,0,0,2,1,3,0
564,0,0,2,3,5,0
565,0,0,2,2,4,0
566,0,0,2,2,4,0
567,0,0,2,2,4,0
568,0,0,2,2,4,0
569,0,0,2,2,4,0
570,0,0,2,2,4,0
571,0,0,2,2,4,0
572,0,0,2,2,4,0
573,0,0,3,2,5,0
574,0,0,3,2,5,0
575,0,0,3,2,5,0
576,0,0,4,3,7,0
577,0,0,3,2,5,0
578,0,0,3,3,6,0
579,0,0,3,3,6,0
580,0,0,3,3,6,0
581,0,0,3,3,6,0
582,0,0,3,3,6,1
583,0,0,3,3,6,1
584,0,0,3,3,6,1
585,0,0,2,2,4,2
586,1,0,1,1,3,2
587,1,1,1,0,3,2
588,1,1,0,0,2,2
589,1,1,0,0,2,2
590,1,1,0,0,2,2
591,1,1,0,0,2,2
592,1,1,0,0,2,2
593,2,1,0,0,3,2
594,2,1,0,0,3,2
595,2,2,0,0,4,2
596,2,2,0,0,4,2
597,2,2,0,0,4,2
598,2,2,0,0,4,2
599,3,2,0,0,5,2
600,3,2,0,0,5,2
601,3,2,0,0,5,2
602,3,2,0,0,5,2
603,3,3,0,0,6,2
604,3,3,0,0,6,2
605,4,3,0,0,7,2
606,4,3,0,0,7,2
607,4,3,0,0,7,2
608,4,3,0,0,7,2
609,4,3,0,0,7,2
610,5,3,0,0,8,2
611,5,4,0,0,9,2
612,5,4,0,0,9,2
613,5,4,0,0,9,2
614,5,4,0,0,9,2
615,6,4,0,0,10,2
616,6,4,0,0,10,2
617,6,4,0,0,10,2
618,6,5,0,0,11,2
619,6,5,0,0,11,2
620,6,5,0,0,11,2
621,6,5,0,0,11,2
622,7,5,0,0,12,2
623,7,5,0,0,12,2
624,7,5,0,0,12,2
625,7,5,0,0,12,2
626,7,5,0,0,12,2
627,7,6,0,0,13,3
628,8,6,0,0,14,3
629,8,6,0,0,14,3
630,7,5,0,0,12,0
631,6,4,0,0,10,0
632,6,3,0,0,9,0
633,5,2,0,0,7,0
634,4,2,0,0,6,0
635,3,1,0,1,5,0
636,2,0,0,2,4,0
637,2,0,0,1,3,0
638,1,0,0,1,2,0
639,0,0,0,1,1,0
640,0,0,0,1,1,0
641,0,0,0,1,1,0
642,0,0,0,1,1,0
643,0,0,0,1,1,0
644,0,0,1,1,2,0
645,0,0,1,1,2,0
646,0,0,1,1,2,0
647,0,0,1,1,2,0
648,0,0,2,2,4,0
649,0,0,1,2,3,0
650,0,0,1,2,3,0
651,0,0,1,2,3,0
652,0,0,1,2,3,0
653,0,0,1,2,3,0
654,0,0,1,2,3,0
655,0,0,1,2,3,0
656,0,0,1,2,3,0
657,0,0,1,2,3,0
658,0,0,1,2,3,0
659,0,0,1,2,3,0
660,0,0,2,4,6,0
661,0,0,2,3,5,0
662,0,0,2,3,5,0
663,0,0,3,3,6,0
664,0,0,2,3,5,0
665,0,0,2,3,5,0
666,0,0,2,3,5,0
667,0,0,2,3,5,0
668,0,0,2,3,5,0
669,0,0,2,3,5,0
670,0,0,2,4,6,0
671,0,0,2,4,6,0
672,0,0,2,5,7,1
673,0,0,2,4,6,1
674,0,0,2,4,6,1
675,0,0,2,3,5,2
676,1,0,1,2,4,2
677,1,0,0,1,2,2
678,1,0,0,0,1,2
679,1,0,0,0,1,2
680,1,0,0,0,1,2
681,1,0,0,0,1,2
682,1,1,0,0,2,2
683,2,1,0,0,3,2
684,2,1,0,0,3,2
685,2,1,0,0,3,2
686,2,1,0,0,3,2
687,2,1,0,0,3,2
688,2,1,0,0,3,2
689,2,1,0,0,3,2
690,2,1,0,0,3,2
691,2,1,0,0,3,2
692,3,1,0,0,4,2
693,3,2,0,0,5,2
694,3,2,0,0,5,2
695,4,2,0,0,6,2
696,4,2,0,0,6,2
697,4,2,0,0,6,2
698,5,2,0,0,7,2
699,5,3,0,0,8,2
700,5,3,0,0,8,2
701,5,3,0,0,8,2
702,5,3,0,0,8,2
703,5,3,0,0,8,2
704,5,3,0,0,8,2
705,5,3,0,0,8,2
706,5,4,0,0,9,2
707,6,4,0,0,10,2
708,6,4,0,0,10,2
709,6,4,0,0,10,2
710,6,4,0,0,10,2
711,6,4,0,0,10,2
712,7,4,0,0,11,2
713,7,4,0,0,11,2
714,7,5,0,0,12,2
715,7,5,0,0,12,2
716,7,5,0,0,12,2
717,8,5,0,0,13,3
718,8,5,0,0,13,3
719,8,5,0,0,13,3
720,7,4,0,0,11,0
721,6,4,0,0,10,0
722,6,3,0,0,9,0
723,5,2,0,0,7,0
724,4,1,0,0,5,0
725,3,0,0,0,3,0
726,3,0,0,0,3,0
727,2,0,0,0,2,0
728,1,0,0,0,1,0
729,0,0,0,0,0,0
730,0,0,1,0,1,0
731,0,0,1,0,1,0
732,0,0,1,0,1,0
733,0,0,1,1,2,0
734,0,0,1,1,2,0
735,0,0,2,1,3,0
736,0,0,1,1,2,0
737,0,0,1,1,2,0
738,0,0,1,1,2,0
739,0,0,1,1,2,0
740,0,0,1,1,2,0
741,0,0,1,1,2,0
742,0,0,1,1,2,0
743,0,0,1,1,2,0
744,0,0,1,2,3,0
745,0,0,1,2,3,0
746,0,0,1,2,3,0
747,0,0,1,2,3,0
748,0,0,2,2,4,0
749,0,0,3,2,5,0
750,0,0,2,2,4,0
751,0,0,2,2,4,0
752,0,0,2,2,4,0
753,0,0,2,2,4,0
754,0,0,2,2,4,0
755,0,0,2,2,4,0
756,0,0,2,3,5,0
757,0,0,2,3,5,0
758,0,0,2,3,5,0
759,0,0,2,3,5,0
760,0,0,2,3,5,0
761,0,0,3,3,6,0
762,0,0,3,3,6,1
763,0,0,3,3,6,1
764,0,0,4,3,7,1
765,0,0,2,2,4,2
766,0,0,1,1,2,2
767,1,0,0,0,1,2
768,1,0,0,0,1,2
769,1,0,0,0,1,2
770,1,1,0,0,2,2
771,1,1,0,0,2,2
772,2,1,0,0,3,2
773,2,1,0,0,3,2
774,2,1,0,0,3,2
775,2,1,0,0,3,2
776,2,1,0,0,3,2
777,2,1,0,0,3,2
778,3,1,0,0,4,2
779,3,1,0,0,4,2
780,3,2,0,0,5,2
781,3,2,0,0,5,2
782,3,2,0,0,5,2
783,3,2,0,0,5,2
784,4,2,0,0,6,2
785,4,2,0,0,6,2
786,4,3,0,0,7,2
787,4,3,0,0,7,2
788,4,3,0,0,7,2
789,5,3,0,0,8,2
790,5,3,0,0,8,2
791,5,3,0,0,8,2
792,5,3,0,0,8,2
793,5,3,0,0,8,2
794,5,3,0,0,8,2
795,5,3,0,0,8,2
796,6,4,0,0,10,2
797,6,4,0,0,10,2
798,6,4,0,0,10,2
799,6,4,0,0,10,2
800,6,4,0,0,10,2
801,6,5,0,0,11,2
802,7,5,0,0,12,2
803,7,5,0,0,12,2
804,7,5,0,0,12,2
805,7,5,0,0,12,2
806,7,5,0,0,12,2
807,8,5,0,0,13,3
808,8,5,0,0,13,3
809,8,5,0,0,13,3
810,8,4,0,0,12,0
811,6,3,0,0,9,0
812,6,3,0,0,9,0
813,5,2,0,0,7,0
814,4,1,0,0,5,0
815,3,0,0,0,3,0
816,3,0,0,2,5,0
817,2,0,0,1,3,0
818,1,0,1,1,3,0
819,0,0,1,1,2,0
820,0,0,1,1,2,0
821,0,0,2,1,3,0
822,0,0,1,1,2,0
823,0,0,1,1,2,0
824,0,0,1,1,2,0
825,0,0,1,1,2,0
826,0,0,1,1,2,0
827,0,0,1,1,2,0
828,0,0,1,1,2,0
829,0,0,1,1,2,0
830,0,0,1,2,3,0
831,0,0,1,2,3,0
832,0,0,1,2,3,0
833,0,0,1,2,3,0
834,0,0,2,2,4,0
835,0,0,2,2,4,0
836,0,0,3,2,5,0
837,0,0,2,2,4,0
838,0,0,2,2,4,0
839,0,0,2,2,4,0
840,0,0,2,4,6,0
841,0,0,2,3,5,0
842,0,0,2,3,5,0
843,0,0,2,3,5,0
844,0,0,2,3,5,0
845,0,0,2,3,5,0
846,0,0,2,3,5,0
847,0,0,3,3,6,0
848,0,0,3,3,6,0
849,0,0,3,3,6,0
850,0,0,4,4,8,0
851,0,0,3,4,7,0
852,0,0,3,5,8,1
853,0,0,3,4,7,1
854,0,0,3,4,7,1
855,1,0,2,3,6,2
856,1,0,1,2,4,2
857,1,0,0,1,2,2
858,1,0,0,0,1,2
859,1,1,0,0,2,2
860,1,1,0,0,2,2
861,1,1,0,0,2,2
862,2,1,0,0,3,2
863,2,1,0,0,3,2
864,2,1,0,0,3,2
865,2,2,0,0,4,2
866,2,2,0,0,4,2
867,2,2,0,0,4,2
868,3,2,0,0,5,2
869,3,2,0,0,5,2
870,3,2,0,0,5,2
871,3,2,0,0,5,2
872,3,2,0,0,5,2
873,3,2,0,0,5,2
874,4,2,0,0,6,2
875,4,2,0,0,6,2
876,4,3,0,0,7,2
877,4,3,0,0,7,2
878,4,3,0,0,7,2
879,5,3,0,0,8,2
880,5,3,0,0,8,2
881,5,3,0,0,8,2
882,5,3,0,0,8,2
883,5,4,0,0,9,2
884,5,4,0,0,9,2
885,5,4,0,0,9,2
886,6,4,0,0,10,2
887,6,4,0,0,10,2
888,6,4,0,0,10,2
889,6,5,0,0,11,2
890,6,5,0,0,11,2
891,6,5,0,0,11,2
892,7,5,0,0,12,2
893,7,5,0,0,12,2
894,7,5,0,0,12,2
895,7,5,0,0,12,2
896,7,5,0,0,12,2
897,8,6,0,0,14,3
898,8,6,0,0,14,3
899,8,6,0,0,14,3
900,7,5,0,0,12,0
901,6,4,0,0,10,0
902,6,3,0,0,9,0
903,5,2,1,0,8,0
904,4,1,1,0,6,0
905,3,0,1,0,4,0
906,2,0,1,0,3,0
907,1,0,1,0,2,0
908,0,0,1,0,1,0
909,0,0,1,0,1,0
910,0,0,1,0,1,0
911,0,0,1,0,1,0
912,0,0,1,0,1,0
913,0,0,1,0,1,0
914,0,0,1,0,1,0
915,0,0,1,0,1,0
916,0,0,1,0,1,0
917,0,0,1,0,1,0
918,0,0,1,0,1,0
919,0,0,1,0,1,0
920,0,0,1,0,1,0
921,0,0,1,0,1,0
922,0,0,1,0,1,0
923,0,0,1,0,1,0
924,0,0,1,0,1,0
925,0,0,1,0,1,0
926,0,0,1,0,1,0
927,0,0,1,0,1,0
928,0,0,1,0,1,0
929,0,0,1,0,1,0
930,0,0,1,0,1,0
931,0,0,1,0,1,0
932,0,0,1,0,1,0
933,0,0,1,0,1,0
934,0,0,1,0,1,0
935,0,0,1,0,1,0
936,0,0,1,0,1,0
937,0,0,1,0,1,0
938,0,0,1,0,1,0
939,0,0,1,0,1,0
940,0,0,1,0,1,0
941,0,0,1,0,1,0
942,0,0,1,0,1,1
943,0,0,1,0,1,1
944,0,0,1,0,1,1
945,0,0,0,0,0,2
946,0,0,0,0,0,2
947,0,0,0,0,0,2
948,0,0,0,0,0,2
949,0,0,0,0,0,2
950,0,0,0,0,0,2
951,0,0,0,0,0,2
952,0,0,0,0,0,2
953,0,0,0,0,0,2
954,0,0,0,0,0,2
955,0,0,0,0,0,2
956,0,0,0,0,0,2
