time,direction,car_count,bike_count,bus_count,truck_count,total_vehicles,intersection,camera,source_file
1900-01-01 08:55:00,DOWN,1.0,0.0,0.0,0.0,1.0,JehangirChowk,j1,j1_12.csv
1900-01-01 08:55:00,LEFT,1.0,0.0,0.0,0.0,1.0,JehangirChowk,j1,j1_12.csv
1900-01-01 08:55:00,RIGHT,0.0,0.0,0.0,0.0,0.0,JehangirChowk,j1,j1_12.csv
1900-01-01 08:55:00,UP,0.0,0.0,0.0,0.0,0.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:00:00,DOWN,77.0,122.0,3.0,10.0,212.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:00:00,LEFT,58.0,1.0,0.0,0.0,59.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:00:00,RIGHT,25.0,19.0,2.0,11.0,57.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:00:00,UP,3.0,1.0,0.0,0.0,4.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:05:00,DOWN,111.0,124.0,2.0,9.0,246.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:05:00,LEFT,43.0,0.0,0.0,1.0,44.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:05:00,RIGHT,33.0,31.0,0.0,9.0,73.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:05:00,UP,1.0,12.0,0.0,0.0,13.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:10:00,DOWN,81.0,137.0,1.0,10.0,229.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:10:00,LEFT,34.0,0.0,0.0,2.0,36.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:10:00,RIGHT,24.0,28.0,0.0,3.0,55.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:10:00,UP,6.0,4.0,0.0,0.0,10.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:15:00,DOWN,72.0,129.0,4.0,6.0,211.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:15:00,LEFT,40.0,2.0,0.0,1.0,43.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:15:00,RIGHT,26.0,17.0,2.0,7.0,52.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:15:00,UP,8.0,4.0,0.0,2.0,14.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:20:00,DOWN,69.0,114.0,1.0,8.0,192.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:20:00,LEFT,40.0,1.0,0.0,2.0,43.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:20:00,RIGHT,23.0,18.0,0.0,10.0,51.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:20:00,UP,2.0,0.0,0.0,0.0,2.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:25:00,DOWN,76.0,127.0,0.0,9.0,212.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:25:00,LEFT,37.0,6.0,0.0,0.0,43.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:25:00,RIGHT,27.0,25.0,2.0,7.0,61.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:25:00,UP,2.0,8.0,0.0,1.0,11.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:30:00,DOWN,61.0,146.0,5.0,5.0,217.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:30:00,LEFT,43.0,0.0,1.0,1.0,45.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:30:00,RIGHT,29.0,19.0,0.0,4.0,52.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:30:00,UP,5.0,4.0,2.0,1.0,12.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:35:00,DOWN,79.0,135.0,3.0,5.0,222.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:35:00,LEFT,53.0,0.0,0.0,0.0,53.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:35:00,RIGHT,28.0,18.0,0.0,9.0,55.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:35:00,UP,12.0,7.0,0.0,1.0,20.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:40:00,DOWN,72.0,134.0,2.0,3.0,211.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:40:00,LEFT,45.0,0.0,0.0,0.0,45.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:40:00,RIGHT,29.0,13.0,0.0,5.0,47.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:40:00,UP,9.0,6.0,0.0,1.0,16.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:45:00,DOWN,58.0,136.0,2.0,13.0,209.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:45:00,LEFT,35.0,2.0,0.0,1.0,38.0,JehangirChowk,j1,j1_12.csv
1900-01-01 09:45:00,RIGHT,25.0,24.0,0.0,5.0,54.0,JehangirChowk,j1,j1_12.csv
